repeat,fold,cindex_hepatic,cindex_death,score
0,0,0.7422680412371134,0.6968375136314068,0.7286388829554015
0,1,0.9611191860465116,0.6788553259141494,0.8764400280068029
0,2,0.8494208494208494,0.8804573804573804,0.8587318087318087
0,3,0.7520325203252033,0.690200210748156,0.733482827452089
0,4,0.4821705426356589,0.8121693121693122,0.5811701734957548
1,0,0.7108167770419426,0.8456924754634678,0.7512794865684
1,1,0.7800237812128419,0.8058748403575989,0.787779098956269
1,2,0.8818897637795275,0.7237288135593221,0.8344414787134659
1,3,0.7887154861944778,0.6544467073998642,0.7484348525560938
1,4,0.7860411899313501,0.8126888217522659,0.7940354794776248
2,0,0.5916334661354582,0.6879432624113475,0.620526405018225
2,1,0.8165413533834587,0.8209169054441261,0.8178540190016589
2,2,0.8892276422764228,0.840960240060015,0.8747474216115004
2,3,0.8686131386861314,0.7001180637544274,0.8180646162066203
2,4,0.8425702811244979,0.7209302325581395,0.8060782665545904
3,0,0.6981511254019293,0.7039187227866474,0.6998814046173446
3,1,0.8846473029045643,0.7535906642728905,0.8453303113150621
3,2,0.8356846473029046,0.7635467980295566,0.8140432925209001
3,3,0.7920978363123237,0.7482993197278912,0.7789582813369939
3,4,0.7518796992481203,0.8471302428256071,0.7804548623213663
4,0,0.8151609553478713,0.8076550387596899,0.8129091803714168
4,1,0.922497308934338,0.6480865224625624,0.8401740729928053
4,2,0.7183431952662722,0.8921568627450981,0.77048729550992
4,3,0.7555391432791728,0.7909090909090909,0.7661501275681482
4,4,0.8368663594470046,0.8084319526627219,0.8283360374117198
