repeat,fold,cindex_hepatic,cindex_death,score
0,0,0.7628865979381443,0.9247546346782988,0.8114470089601905
0,1,0.9295058139534884,0.931637519872814,0.930145325729286
0,2,0.7810810810810811,0.9580734580734581,0.8341787941787941
0,3,0.8504065040650407,0.9494204425711275,0.8801106856168668
0,4,0.5953488372093023,0.955026455026455,0.7032521225544481
1,0,0.6696100073583517,0.9661941112322792,0.75858523852053
1,1,0.7728894173602854,0.9501915708812261,0.8260800634165675
1,2,0.889763779527559,0.9378531073446328,0.9041905778726811
1,3,0.9159663865546218,0.9497623896809233,0.9261051874925121
1,4,0.9033180778032036,0.9290030211480362,0.9110235608066533
2,0,0.595219123505976,0.9468085106382979,0.7006959396456726
2,1,0.843609022556391,0.9426934097421203,0.8733343387121097
2,2,0.9654471544715447,0.959489872468117,0.9636599698705164
2,3,0.870235198702352,0.9468713105076741,0.8932260322439485
2,4,0.9028112449799197,0.9512378094523631,0.9173392143216528
