repeat,fold,cindex_hepatic,cindex_death,score
0,0,0.7348582474226805,0.8407851690294439,0.7666363239047094
0,1,0.9498546511627907,0.8402225755166932,0.9169650284689614
0,2,0.7559845559845559,0.9348579348579349,0.8096465696465696
0,3,0.8634146341463415,0.9704952581664911,0.8955388213523863
0,4,0.6062015503875969,0.9391534391534392,0.7060871170173495
1,0,0.6342899190581309,0.920392584514722,0.7201207186951082
1,1,0.7984542211652794,0.8952745849297573,0.8275003302946227
1,2,0.9007874015748032,0.8971751412429378,0.8997037234752435
1,3,0.8835534213685474,0.9239646978954514,0.8956768043266186
1,4,0.868421052631579,0.9138972809667674,0.8820639211321355
2,0,0.5848605577689243,0.9290780141843972,0.6881257946935662
2,1,0.8135338345864662,0.8954154727793696,0.8380983260443372
2,2,0.9715447154471545,0.9617404351087772,0.9686034313456413
2,3,0.8751013787510138,0.8701298701298701,0.8736099261646706
2,4,0.908433734939759,0.9242310577644411,0.9131729317871636
