endpoint,model,feature_set,leakage_risk,n_folds_evaluated,cindex_mean,cindex_std,cindex_min,cindex_max,cindex_mean_minus_halfsd
hepatic,rsf,first_3y,low,15,0.7462199572176836,0.11069715061171424,0.5162790697674419,0.934593023255814,0.6908713819118265
hepatic,xgb_cox,first_3y,low,15,0.6582530300052433,0.1180645626470445,0.416260162601626,0.8028455284552846,0.599220748681721
hepatic,lgbm_binary,first_3y,low,15,0.7100655086630475,0.10808531568679808,0.475968992248062,0.9265988372093024,0.6560228508196485
hepatic,catboost_binary,first_3y,low,15,0.7040493046982329,0.12472968139067676,0.4434108527131783,0.8779116465863454,0.6416844640028945
hepatic,xgb_binary,first_3y,low,15,0.7108903352169441,0.11740514998278329,0.4325581395348837,0.9236918604651163,0.6521877602255525
death,rsf,first_3y,low,15,0.8220925388534978,0.03804292525479594,0.7695035460992907,0.894973743435859,0.8030710762260997
death,xgb_cox,first_3y,low,15,0.8077767467122176,0.04418434065834913,0.7279693486590039,0.8854961832061069,0.785684576383043
death,lgbm_binary,first_3y,low,15,0.7208072448649322,0.08763549405571658,0.6002865329512894,0.9078549848942599,0.6769894978370739
death,catboost_binary,first_3y,low,15,0.7158772453911197,0.1051171416925926,0.43915343915343913,0.850453172205438,0.6633186745448234
death,xgb_binary,first_3y,low,15,0.7225276611939064,0.0879695154647389,0.5661375661375662,0.8867069486404834,0.678542903461537
