repeat,fold,cindex_hepatic,cindex_death,score
0,0,0.6929768041237113,0.8789531079607416,0.7487696952748204
0,1,0.9375,0.8982511923688394,0.9257253577106519
0,2,0.754054054054054,0.9154539154539154,0.8024740124740124
0,3,0.8073170731707318,0.9515279241306639,0.8505803284587112
0,4,0.6046511627906976,0.9351851851851852,0.7038113695090439
1,0,0.5739514348785872,0.9411123227917121,0.6840997012525247
1,1,0.7835909631391201,0.8646232439335888,0.8079006473774607
1,2,0.8401574803149606,0.9016949152542373,0.8586187107967436
1,3,0.9003601440576231,0.923285811269518,0.9072378442211915
1,4,0.8661327231121282,0.9365558912386707,0.8872596735500909
2,0,0.595219123505976,0.9290780141843972,0.6953767907095023
2,1,0.7105263157894737,0.8595988538681948,0.75524807721309
2,2,0.9644308943089431,0.959489872468117,0.9629485877566952
2,3,0.8872668288726683,0.9149940968122786,0.8955850092545513
2,4,0.8710843373493976,0.9099774943735934,0.8827522844566562
