repeat,fold,cindex_hepatic,cindex_death,score
0,0,0.7029639175257731,0.7039258451472192,0.703252495812207
0,1,0.970203488372093,0.7742448330683624,0.9114158917809738
0,2,0.6857142857142857,0.8551628551628552,0.7365488565488565
0,3,0.6715447154471544,0.8192834562697576,0.7158663376939354
0,4,0.5744186046511628,0.8306878306878307,0.6512993724621632
1,0,0.6409124356144223,0.836423118865867,0.6995656405898557
1,1,0.7969678953626635,0.7637292464878672,0.7869963007002246
1,2,0.7771653543307087,0.7491525423728813,0.7687615107433604
1,3,0.7478991596638656,0.8224711473183979,0.7702707559602253
1,4,0.7906178489702517,0.8413897280966768,0.8058494127081792
2,0,0.5362549800796813,0.7836879432624113,0.6104848690345003
2,1,0.6609022556390978,0.7550143266475645,0.6891358769416378
2,2,0.9613821138211383,0.9032258064516129,0.9439352216102805
2,3,0.878345498783455,0.8311688311688312,0.8641924984990678
2,4,0.8582329317269076,0.7254313578394599,0.8183924595606733
