repeat,fold,cindex_hepatic,cindex_death,score
0,0,0.7532216494845361,0.7688113413304253,0.7578985570383028
0,1,0.965843023255814,0.7567567567567568,0.9031171433060967
0,2,0.7212355212355213,0.8842688842688843,0.7701455301455301
0,3,0.7101626016260163,0.8292939936775553,0.745902019241478
0,4,0.5782945736434109,0.8465608465608465,0.6587744555186416
1,0,0.6394407652685798,0.8691384950926936,0.7083500842158139
1,1,0.8243162901307967,0.7905491698595147,0.814186154049412
1,2,0.7866141732283465,0.7559322033898305,0.7774095822767916
1,3,0.8031212484993998,0.8628649015614392,0.8210443444180116
1,4,0.8146453089244852,0.8398791540785498,0.8222154624707045
2,0,0.5557768924302788,0.7695035460992907,0.6198948885309823
2,1,0.7090225563909774,0.826647564469914,0.7443100588146584
2,2,0.9512195121951219,0.918979744936234,0.9415475820174555
2,3,0.8896999188969992,0.8040141676505312,0.8639941935230587
2,4,0.9269076305220884,0.7809452363090773,0.8831189122581851
