repeat,fold,cindex_hepatic,cindex_death,score
0,0,0.6623711340206185,0.8075245365321702,0.705917154774084
0,1,0.9396802325581395,0.7885532591414944,0.894342140533146
0,2,0.7544401544401544,0.8593208593208593,0.7859043659043659
0,3,0.7910569105691057,0.8693361433087461,0.8145406803909978
0,4,0.6062015503875969,0.91005291005291,0.6973569582871908
1,0,0.6089036055923474,0.8887677208287895,0.6928628401632799
1,1,0.760998810939358,0.7867177522349936,0.7687144933280486
1,2,0.8385826771653543,0.8,0.8270078740157479
1,3,0.8343337334933973,0.8411405295315683,0.8363757723048486
1,4,0.8501144164759725,0.9093655589123867,0.8678897592068968
2,0,0.5784860557768924,0.7943262411347518,0.6432381113842502
2,1,0.7315789473684211,0.7936962750716332,0.7502141456793847
2,2,0.9496951219512195,0.9129782445611403,0.9386800587341957
2,3,0.8888888888888888,0.8476977567886659,0.8765315492588219
2,4,0.8514056224899599,0.8499624906226556,0.8509726829297686
